ts in ms,sensor id,mapped id,number,full name,league id,group id,group name,x in m,y in m,z in m
1150,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.749,10.635,1.6
1200,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.744,13.758,1.6
1200,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.323,12.275,1.6
1200,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.686,10.455,1.6
1200,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.914,3.308,1.6
1200,40849,2180,92,Ball,4460903,3,Ball,39.341,9.651,0.159
1200,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.17,20.027,1.6
1200,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.531,9.736,1.6
1200,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.704,10.599,1.6
1250,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.801,13.756,1.6
1250,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.414,12.125,1.6
1250,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.751,10.447,1.6
1250,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.922,3.188,1.6
1250,40849,2180,92,Ball,4460903,3,Ball,39.368,9.711,0.123
1250,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.193,19.988,1.6
1250,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.521,9.754,1.6
1250,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.659,10.563,1.6
1300,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.859,13.754,1.6
1300,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.484,11.992,1.6
1300,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.817,10.44,1.6
1300,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.93,3.067,1.6
1300,40849,2180,92,Ball,4460903,3,Ball,39.41,9.733,0.08
1300,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.216,19.95,1.6
1300,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.511,9.773,1.6
1300,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.614,10.527,1.6
1350,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.918,13.744,1.6
1350,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.543,11.869,1.6
1350,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.883,10.433,1.6
1350,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.938,2.946,1.6
1350,40849,2180,92,Ball,4460903,3,Ball,39.385,9.773,0.12
1350,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.238,19.912,1.6
1350,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.506,9.795,1.6
1350,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.568,10.496,1.6
1400,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.982,13.721,1.6
